type|date|dayWeek|expl
early1pm|1994-11-25|(Fri)|Closed at 1:00 pm. Day after Thanksgiving.
partial|1995-04-26|(Wed)|The NYSE observed one minute of silence, from 10:02 to 10:03 am, in memory of the victims of the Oklahoma City bombing. (Bombing took place at 9:02 am central time, April 19.)
early1pm|1995-07-03|(Mon)|Closed at 1:00 pm. Day before Independence Day.
early1pm|1995-11-24|(Fri)|Closed at 1:00 pm. Day after Thanksgiving.
open10.30am|1995-12-18|(Mon)|Opening delayed until 10:30 am. Computer systems trouble.
open11.am|1996-01-08|(Mon)|Opening delayed until 11:00 am due to snowstorm. Trading floor closed at 2:00 pm.
partial|1996-04-04|(Thu)|The NYSE observed one minute of silence in memory of Commerce Secretary Ron Brown and the government, corporate, military, and media representatives killed in a plane crash in the Balkans on April 3.
early1pm|1996-07-05|(Fri)|Closed at 1:00 pm. Day after Independence Day.
early1pm|1996-11-29|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|1996-12-24|(Tue)|Closed at 1:00 pm. Christmas Eve.
early1pm|1997-07-03|(Thu)|Closed at 1:00 pm. Day before Independence Day.
partial|1997-10-27|(Mon)|“Circuit breakers” triggered for first time when the Dow Jones Industrial Average dropped 350 points, triggering a mandated trading halt that closed the market at 2:35 pm for a half hour. Trading resumed at 3:05 pm and the Dow declined an additional 200 points, causing another halt at 3:30 pm that ended trading for the day.
early1pm|1997-11-28|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|1997-12-24|(Wed)|Closed at 1:00 pm. Christmas Eve.
early1pm|1997-12-26|(Fri)|Closed at 1:00 pm. Friday after Christmas.
partial|1998-07-29|(Wed)|The NYSE observed one minute of silence in memory of William McChesney Martin, Jr., former NYSE president.
partial|1998-10-26|(Mon)|Computer switch malfunction halts trading for 59 minutes, from 1:16 to 2:15 pm.
early1pm|1998-11-27|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|1998-12-24|(Thu)|Closed at 1:00 pm. Christmas Eve.
partial|1999-03-25|(Thu)|The NYSE observed one minute of silence, from 10:00 to 10:02 am in tribute to the NATO troops in Kosovo.
partial|1999-04-26|(Mon)|The NYSE observed one minute of silence, from 12:00 noon to 12:02 pm, in memory of the fourteen students and one teacher killed at Columbine High School, Littleton, Colorado.
early1pm|1999-11-26|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
early1pm|1999-12-31|(Fri)|Closed at 1:00 pm. New Year’s Eve.
partial|2000-02-16|(Wed)|The NYSE observed one minute of silence, from 12:00 noon to 12:01 pm, in memory of Walter N. Frank, former NYSE chairman.
partial|2000-05-04|(Thu)|The NYSE observed one minute of silence, from 12:00 noon to 12:01 pm, in memory of John Cardinal O’Connor, Archbishop of New York.
early1pm|2000-07-03|(Mon)|Closed at 1:00 pm. Day before Independence Day.
early1pm|2000-11-24|(Fri)|Closed at 1:00 pm. Day after Thanksgiving Day.
partial|2001-06-08|(Fri)|Trading was halted from 10:10 to 11:35 am (one hour, twenty-five minutes), due to computer systems connectivity problem.
early1pm|2001-07-03|(Tue)|Closed at 1:00 pm. Day before Independence Day.
closed|2001-09-11|(Tue)|Closed following the terrorist attack on the World Trade Center.
closed|2001-09-12|(Wed)|Closed following the terrorist attack on the World Trade Center.
closed|2001-09-13|(Thu)|Closed following the terrorist attack on the World Trade Center.
closed|2001-09-14|(Fri)|Closed following the terrorist attack on the World Trade Center.
