Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
BMDV;CH0009103745;DJS TMI Media [5550] USD (Return);Europe;Sector;USD;Return;20-Nov-00
T1770L;CH0019122776;DJS TMI Mining [1770] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T1770P;CH0019122743;DJS TMI Mining [1770] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T1770R;CH0019122800;DJS TMI Mining [1770] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T1770V;CH0019122842;DJS TMI Mining [1770] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SILCTS;CH0010543012;DJS TMI Mb Telcom [6570] USD (Price);Europe;Sector;USD;Price;24-Dec-01
SIPCTS;CH0010543004;DJS TMI Mb Telcom [6570] EUR (Price);Europe;Sector;EUR;Price;24-Dec-01
SIRCTS;CH0010543020;DJS TMI Mb Telcom [6570] EUR (Return);Europe;Sector;EUR;Return;24-Dec-01
SIVCTS;CH0010543038;DJS TMI Mb Telcom [6570] USD (Return);Europe;Sector;USD;Return;24-Dec-01
T8530L;CH0019124624;DJS TMI Nlife Ins [8530] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T8530P;CH0019124566;DJS TMI Nlife Ins [8530] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T8530R;CH0019124657;DJS TMI Nlife Ins [8530] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T8530V;CH0019124681;DJS TMI Nlife Ins [8530] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T0530L;CH0019122008;DJS TMI Oil&Gas [0530] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T0530P;CH0019121893;DJS TMI Oil&Gas [0530] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T0530R;CH0019122123;DJS TMI Oil&Gas [0530] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T0530V;CH0019122156;DJS TMI Oil&Gas [0530] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T0570L;CH0019122339;DJS TMI Oil Eq [0570] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T0570P;CH0019122222;DJS TMI Oil Eq [0570] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
